Species,FertileFronds,Frond,Habitat,Indusia,Laminae,Rachis,Rhizome,Sori,Sporangia,Spores,SterileFronds,Stipe,Family,Biostatus
Notogrammitis rawlingsii (Parris),,31-165mm-long; 3-6mm-wide; 1.3mm-long,"Notogrammitis rawlingsii is confined to kauri or occasionally podocarp or hard beech forest. It usually grows on roots amongst forest mosses, on rotting logs, or sometimes on the ground. It reaches 600 m on Mt Pirongia. Recognition: Notogrammitis rawlingsii is a very distinctive species characterised by its short-creeping rhizome, lack of distinct stipes, linear fronds, and presence of stout, dark red- brown hairs in and around the soral region. It is largely confined to lowland kauri forest in the northern North Island. It 43is most similar to N. billardierei , but distinguished by the characteristic red-brown hairs in the soral region and upright habit. Fig. 116 : Notogrammitis rawlingsii . Mature plants with linear fronds growing from erect rhizomes.Fig. 117 : Notogrammitis rawlingsii . Mature plants with linear fronds and elongated sori. Fig. 118 : Notogrammitis rawlingsii . Close up of elongated sori with stout, red-brown hairs in and around the sori.Fig. 119 : Notogrammitis rawlingsii . Close up of elongated sori with stout, red-brown hairs in and around the sori.",,,,,2-5mm-long; 0.7mm-long,,,,,Polypodiaceae,"['indigenous', 'endemic']"
Notogrammitis rigida (Hombr.),,75-220mm-long; 9-20mm-wide; 1.2mm; 220mm-long; 20mm-wide,"Notogrammitis rigida is found in beech, Olearia colensoi and Metrosideros umbellata forest, or under mānuka. It grows amongst mosses on wet coastal rocks, cliffs and slips, often very close to the sea. It is also epiphytic on Metrosideros umbellata or, more rarely, found in the spray zone of waterfalls . Recognition: Notogrammitis rigida is characterised by its erect to short-creeping rhizome, lack of distinct stipes, and more or less glabrous fronds, up to 220 mm long and 20 mm wide with occasional marginal projections. It is easily the largest undivided species of the genus in New Zealand and is confined to high rainfall, coastal areas in the far south of the country. It lacks setae and hairs with setiform branches. Fig. 121 : Notogrammitis rigida . Mature plant growing epiphytically, with large fronds arising from an erect rhizome. 45Phlebodium (R.Br.) J.Sm., J. Bot. (Hooker) 4: 58 (1841) = Polypodium sect. Phlebodium R.Br. in Bennett et al., Pl. Jav. Rar. 1, 4 (1838) Type taxon: Phlebodium aureum (L.) J.Sm. Etymology: From the Greek phlebo - (veined), a reference to the pronounced frond venation. Epiphytic or rupestral ferns. Rhizomes long-creeping, terete, lacking cavities, not pruinose, scaly. Rhizome scales non-clathrate, squarrose. Fronds monomorphic, articulated to rhizome. Laminae undivided to deeply pinnatifid or pinnatisect, herbaceous to coriaceous, usually glabrous. Veins reticulate, forming 1 to several series of areoles between costa and lobe margin; areoles with 1 or 2 included veinlets, except for 1 row bordering the costa; hydathodes absent. Sori round, superficial, in 1 to several rows either side of midrib, served by 2 veins in each areole, not confluent with age, occurring throughout the lamina; paraphyses absent; exindusiate. Spores monolete, bilaterally symmetrical, verrucate to tuberculate. Taxonomy: A genus of 4 species (PPG 1 2016). Distribution: A small genus confined to the New World tropics and subtropics (Mickel & Smith 2004). One species casual in New Zealand. Biostatus: Exotic; casual. Table 6 : Number of species in New Zealand within Phlebodium (R.Br.) J.Sm. Category Number Exotic: Casual 1 Total 1",,,,,2-10mm-long,,,,,Polypodiaceae,"['indigenous', 'endemic']"
"Polypodium vulgare L., Sp. Pl. 1085 (1753)",,85-550mm-long; 25mm-long,"On coastal cliffs, road banks, volcanic rock bluffs, and on greywacke rock under dry scrub or shrub or forest vegetation.",,55-300mm-long; 17mm-long; 40-120mm-wide; 14mm-wide,,,1-3.5mm-long,,,,10-250mm-long,Polypodiaceae,['exotic']
Pyrrosia elaeagnifolia (Bory),30-260mm-long; 4-20mm-wide,,"Pyrrosia elaeagnifolia is a very tough and adaptable fern, which can survive dry conditions due to its fleshy frond, dense covering of hairs and reduced lamina area. It occurs on rocks, logs, scoria and banks, and as an epiphyte on branches and trunks of native, naturalised and cultivated trees. It is found from exposed coastal situations to sheltered forest, in a wide range of scrub, beech, podocarp and broadleaved forest types. Recognition: Pyrrosia elaeagnifolia is the only species of the genus present on the main islands of New Zealand, and is easily distinguished by its long-creeping rhizome; thick, fleshy, undivided fronds; dense covering of stellate hairs; and exindusiate sori arranged in several rows either side of the midrib. Pyrrosia elaeagnifolia and P. serpens have both been recorded from the Kermadec Islands and characters for distinguishing the two are listed under the latter species. Very occasional aberrant fronds are found with lobed or bifid fronds, and sometimes the rhizome apices are fastigiately divided into multiple growing tips. The latter has been attributed to a gall- forming mite, Aceria sp. (Hovenkamp 1986, p. 178). Cytology: n = 37 (Brownlie 1961, as Pyrrosia serpens ). Notes: New Zealand plants were previously referred to P. serpens (G.Forst.) Ching, but that species has ciliate rhizome scales, whereas those in P. elaeagnifolia are more or less entire (Hovenkamp 1986; Brownsey et al. 2021). The confusion arose because Forster identified New Zealand as the type locality for P. serpens ​​​​​​, but his specimen is not conspecific with the species on the main islands of New Zealand. It was probably collected on one of the Pacific islands, and the specimen mislabelled 54(Hovenkamp 1986). P. serpens occurs across the Pacific from the Kermadec Islands and Fiji to Pitcairn Island. Pyrrosia elaeagnifolia has been widely misidentified in earlier New Zealand literature under the names Polypodium stellatum Vahl, Polypodium serpens G.Forst., Niphobolus bicolor Kaulf., and Polypodium rupestre R.Br., and combinations based on them. Cameron (2017) argued that, based on the original spelling of Elaeagnus latifolia L., the name “eleagnifolia” is an orthographic error that should be corrected to “elaeagnifolia”. That spelling is adopted here. Fig. 142 : Pyrrosia elaeagnifolia . Plants on a trunk, with rounded to ovate sterile fronds, and narrowly elliptic to spathulate fertile fronds, growing from long-creeping rhizomes.Fig. 143 : Pyrrosia elaeagnifolia . Fertile fronds densely covering trunk and branches of a forest tree. Fig. 144 : Pyrrosia elaeagnifolia . Juvenile, orbicular fronds growing from long-creeping rhizomes on a tree trunk.Fig. 145 : Pyrrosia elaeagnifolia . Adaxial surface of entire frond showing scattered stellate hairs. 55Fig. 146 : Pyrrosia elaeagnifolia . Mature plant growing epiphytically on a fallen tree fern trunk.Fig. 147 : Pyrrosia elaeagnifolia . Apex of long- creeping rhizome covered in squarrose, narrowly ovate, orange-brown scales. Fig. 148 : Pyrrosia elaeagnifolia . Abaxial surface of fronds, showing dense, stellate hairs on sterile fronds, and round, exindusiate, almost confluent sori on fertile fronds.Fig. 149 : Pyrrosia elaeagnifolia . Abaxial surface of fertile frond with round to ovate exindusiate sori arranged in several rows, and dense covering of stellate hairs.",,,,,2-4mm-long,,,20-185mm-long,11-31mm-wide,Polypodiaceae,"['indigenous', 'endemic']"
Pyrrosia serpens (G.Forst.),115-175mm-long; 7-10mm-wide,,"On the basal trunk of Metrosideros kermadecensis in summit forest. Recognition: Pyrrosia serpens is very similar to P. elaeagnifolia , and both species have been recorded from the Kermadec Islands. Fronds of P. serpens are generally narrower (9–15 mm wide) and more oblong in shape than those of P. elaeagnifolia , which are broader (11–31 mm wide) and more ovate or elliptic in outline. The rhizome scales of P. serpens are appressed, ovate in outline, 2–2.8 mm long, slightly ciliate, and have a conspicuous dark centre, whereas those of P. elaeagnifolia are squarrose, narrowly ovate in outline, 2–7 mm long, entire, and concolorous. However, the most obvious distinguishing character is the arrangement of the sori, which, in P. serpens , are arranged in one row either side of the midrib, often partly sunken into the lamina and protuberant on the adaxial surface, whereas in P. elaeagnifolia they are in two to five rows, superficial on the abaxial surface and not protuberant on the adaxial side. Notes: Polypodium serpens was first described by Forster (1786) and said by him to have come from New Zealand. However the lectotype (BM 001048427) is not conspecific with the species from mainland New Zealand, and almost certainly came from one of the Pacific Islands (Hovenkamp 1986). Carruthers (in Seemann 1865–1873) suggested that the locality should be the Society Islands rather than New Zealand, and a French Polynesian origin for the lectotype appears probable given the distribution of the species and Forster’s itinerary; he apparently did not collect during his visit to the Cook Islands (Sykes 2016). Brownsey et al. (2021) showed that the circumscription of Pyrrosia serpens requires further investigation. Fig. 151 : Pyrrosia serpens . Herbarium specimen from Dayrell Is., WELT P028744, showing narrowly elliptic fertile fronds, and large ovate sori in a single row along each margin. 5",,,,,3-5mm-long,,,90-110mm-long,9-15mm-wide,Polypodiaceae,"['indigenous', 'non-endemic']"
Psilotum nudum (L.),,1-3mm-long,"On Raoul Island, Psilotum nudum is common under dry forest in the crater area, usually on the forest floor, but also on rotten wood or epiphytic on Metrosideros . In Northland and on the Hauraki Gulf and Coromandel islands it occurs under pōhutukawa forest on rocky or sandy soil, on open coastal cliffs and banks, in rock crevices and amongst scoria. Very occasionally it occurs as an epiphyte on pōhutukawa or kōwhai. In Auckland City it is found on walls, in rocky areas, amongst scoria and in planted areas, where it has been accidentally introduced. Around Kāwhia Harbour it grows on limestone outcrops. However, it is most abundant on thermally heated ground in the 3Rotorua/Taupō area on cliffs, rocky ground, in crevices, around steam vents and under light kānuka and mānuka scrub. Recognition: This species is easily recognised by its twiggy, upright stems, scale-like leaves, and trilobed synangia borne adaxially on bifid sporophylls. Cytology: n = 104 (Brownsey & Lovis 1987). Notes: The gametophytes of Psilotum nudum are unusual amongst ferns in being subterranean, non- green, mycorrhizal, cylindrical and frequently branched (Holloway 1939; Bierhorst 1954). They are similar to those of Tmesipteris in this regard. Fig. 2 : Psilotum nudum : dichotomously branched aerial stem bearing trilobed synangia.Fig. 3 : Psilotum nudum : dichotomously branched aerial stem bearing trilobed synangia on adaxial surface of tiny bifid scales. Tmesipteris Bernh., J. Bot. (Schrader) 1800(2): 131 (1801) Type taxon: Tmesipteris tannensis (Spreng.) Bernh. Etymology: From the Greek tmesis (a cutting, or incision), and pteris (a fern), a reference to the sporophyll being forked, as if cut into two. Vernacular name: fork fern Epiphytic or occasionally terrestrial ferns. Rhizomes dichotomously branched, subterranean, bearing brown rhizoidal hairs. Aerial stems pendulous, unbranched or dichotomously branched, flattened, glabrous, either growing indeterminately or terminated by a large leaf. Sterile leaves scale-like proximally, expanded and flattened distally, spirally arranged or distichous, 1-veined, bases unequally cuneate. Synangia bilobed, equal or unequal, arranged on the adaxial margin of bifid sporophylls; lobes conic or round- ended. Spores monolete, ellipsoidal, rugulate to smooth. Taxonomy: A genus of about 15 species. Allan (1961) and authors of earlier New Zealand Flora treatments all recognised only a single species of Tmesipteris . Nineteenth century authors all misidentified this as T. forsteri Endl., an illegitimate name for the species now known as T. norfolkensis - a plant endemic to Norfolk Island. Later authors referred the New Zealand species to T. tannensis . However, the genus was critically revised by Chinnock (1975) who identified four species, including T. sigmatifolia which was described for the first time. A fifth species, T. horomaka , was described more recently by Perrie et al. (2010) and is so far known only from Banks Peninsula. Unlike the other New Zealand species, which are all tetraploid (Brownsey & Lovis 1987), T. horomaka is octoploid and possibly an allopolyploid derivative of T. tannensis and T. elongata . In addition, two further species may be present in New Zealand. Plants resembling T. obliqua from south-east Australia occur in the far south of the South Island, and others similar to T. norfolkensis are known from Northland and Great Barrier Island. Further work is needed to determine the true identity of these plants. A clearer understanding of the diversity within Tmesipteris has only emerged since the 1970s, with species descriptions now available for the Philippines (Gruèzo 2012), Australia (Chinnock 1998), the Solomon Islands (Braithwaite 1973), Vanuatu (Braithwaite 1986), New Caledonia (Brownlie 1969), Fiji (Brownlie 1977) and French Polynesia (Murdock & Smith 2003). 41 Sterile leaves distichously arranged ...................................................................................... 2 Sterile leaves spirally arranged .............................................................................................. 3 2 Sterile leaves ovate to elliptic, shiny green; sporophylls usually in lower half of stem; stems undivided ........................................................................................ lanceolata Sterile leaves narrowly ovate to narrowly oblong, dull green; sporophylls usually in middle or upper part of stem; stems undivided or branched one to several times ............................................................................................................ elongata 3 Synangia with pointed ends .................................................................................................. 4 Synangia with rounded ends .................................................................................................. 5 4 Synangial lobes usually separated from subtending sporophyll, pointing upwards .................................................................................................................. tannensis Syngangial lobes appressed to subtending sporophyll, pointing laterally or downwards .............................................................................................................. horomaka 5 Stems undivided; sterile leaves often slightly sigma-shaped; mucro 1.5–3.5 mm long; synangial lobes often unequal in size .................................................... sigmatifolia Stems undivided or branched one to several times; sterile leaves straight or falcate; mucro 1–2.5 mm; synangial lobes equal in size ........................................................ 6 6 Sterile leaves usually emarginate to truncate, up to 25 mm long ............................ horomaka Sterile leaves usually cuspidate to acuminate, up to 45 mm long ............................ elongata Distribution: One species in the Philippines, at least one in Papua New Guinea, seven in Australia (including Lord Howe and Norfolk Islands), three in the Solomon Islands, four in New Caledonia, three in Vanuatu and one each in Fiji, Samoa, Society Islands and the Marquesas. Five species in New Zealand; two endemic. Biostatus: Indigenous (Non-endemic). Table 3 : Number of species in New Zealand within Tmesipteris Bernh. Category Number Indigenous (Endemic) 2 Indigenous (Non-endemic) 3 Total 5 Cytology: Tetraploid counts of n = 104 have been reported from New Zealand (Brownsey & Lovis 1987), Australia (Barber 1957) and Vanuatu (Braithwaite 1986), and octoploid counts of n = 208 from New Zealand (Perrie et al. 2010), Australia (Barber 1957) and Vanuatu (Braithwaite 1986). Notes: The gametophytes of Tmesipteris species are unusual amongst ferns in being buried (usually in tree fern trunks, but sometimes underground), non-green, mycorrhizal, cylindrical and frequently branched (Holloway 1918, 1921). They are similar to those of Psilotum in this regard.",,,,40-725mm-long; 13-290mm-wide; 20-420mm-long; 0.5-3mm,,1-1.5mm-long; 1.5-3mm-wide,,,,Psilotaceae,"['indigenous', 'non-endemic']"
"Tmesipteris elongata P.A.Dang., Botaniste Séries 2: 213, pl. 12, fig. 6 (1891)",,45mm-long; 2-9mm-wide,"Tmesipteris elongata is found commonly as an epiphyte on tree fern trunks, recorded most frequently from Cyathea dealbata and Dicksonia squarrosa , but also occasionally from Cyathea medullaris in northern New Zealand, and Cyathea smithii at higher elevations and in the South Island. It has been recorded once from Dicksonia fibrosa on the Chatham Islands (AK 230462). It is also occasionally found growing on trunks of Beilschmiedia tawa , Dysoxylum spectabile , Hedycarya arborea , Melicytus ramiflorus , Metrosideros robusta , Nestegis spp., Fuscospora solandri , and Rhopalostylis sapida , on old rotten logs, and rarely at the base of tree trunks, on banks, or in humus. It has also been recorded once from an introduced Salix species (WAIK 4672). It occurs most frequently in a wide range of broadleaved forest but also under kauri, podocarp and beech forest and in swamp forest, or rarely under Pinus radiata . In northern New Zealand the species can be found hanging from large clumps of Collospermum , and such plants are often much larger than those found on tree fern trunks. They were distinguished as T. elongata subsp. robusta by Chinnock (1975). Plants have been collected from the bases of Carex secta at Lake Koraha, Matauratahi Valley (WAIK 8847), and rather stunted plants from C. secta stems in a dense Phormium tenax swamp on the south Taranaki coast (WELT P020839). Recognition: This is one of the two widespread species of Tmesipteris in New Zealand, recognised by its somewhat flexible leaves with acuminate or cuspidate apices, and by its round-ended synangia. Its leaves are also generally longer than in other species. It is the only species with a stem that sometimes branches more than once. Some forms are very robust, branching several times, and are much bigger than any other species in New Zealand (see below). Cytology: n = 104 (Brownsey & Lovis 1987). Notes: The holotype of Dangeard’s Tmesipteris elongata has probably been destroyed (Chinnock 1975), and Dangeard’s illustration was therefore selected as lectotype (Chinnock 1998). The original localities are cited as “Terre de Van Diemen [Tasmania]; New South Wales”. Tmesipteris elongata subsp. robusta was distinguished from subsp. elongata by Chinnock (1975) primarily on the basis of its more consistently branching stem, but also by its slightly longer and broader leaves. However, it appears to overlap in all these characters with specimens of subsp. elongata , and is therefore reduced to synonymy. It is best regarded as an ecological form that grows particularly well in large clumps of Collospermum . 6Fig. 5 : Tmesipteris elongata : aerial stem growing from a tree fern trunk, bearing narrowly- ovate sterile leaves tapering to a short mucro, and sporophylls in the distal half. The frond at bottom right is T. lanceolata .Fig. 6 : Tmesipteris elongata : aerial stem bearing undivided sterile leaves in the proximal half, and bilobed synangia on the adaxial margin of bifid sporophylls in the distal half. Fig. 7 : Tmesipteris elongata : aerial stem showing indeterminate growth with the apex terminated by a small leaf or sporophyll.Fig. 8 : Tmesipteris elongata : aerial stem bearing round-ended bilobed synangia on the adaxial margin of bifid sporophylls, splitting along the adaxial surface. 7Fig. 9 : Tmesipteris elongata : round-ended bilobed synangia borne on the adaxial margin of bifid sporophylls.Fig. 10 : Tmesipteris elongata : close up of sporophylls showing round-ended synangia appressed to the subtending leaf margin.",,,,70-1400mm-long; 11-75mm-wide; 1-3mm-long,,2.5-6mm-long; 1-2.5mm,,,,Psilotaceae,"['indigenous', 'non-endemic']"
"Tmesipteris horomaka Perrie, Brownsey & Lovis, New Zealand J. Bot. 48: 27 (2010)",,10-25mm-long; 2.5-7mm-wide,"Tmesipteris horomaka occurs most frequently as an epiphyte on trunks of the tree ferns Cyathea dealbata , C. smithii and Dicksonia squarrosa in podocarp, broadleaved and beech forest. A single collection has also been recorded from Phormium peat on a humid, shaded, cliff face (CHR 355608). Recognition: This species is morphologically intermediate between T. elongata and T. tannensis . It differs from T. elongata in having mostly emarginate to truncate leaves, compared to acuminate or cuspidate leaves in that species. It differs from T. tannensis in having round-ended or only slightly pointed synangia with the apices projecting laterally or downwards, compared to usually strongly pointed synangia with the apices pointing upwards in T. tannensis . 8Cytology: n = c. 208 (Perrie et al. 2010). Notes: Plants resembling Tmesipteris horomaka have been collected from Westland (CHR 325664) and Stewart Island (WELT P011165). They have large spores, suggesting that they may be octoploids, but have more distinctly biconic synangia than T. horomaka from Banks Peninsula. The specimens were treated as incertae sedis by Perrie et al. (2010) and require further investigation. Fig. 12 : Tmesipteris horomaka : aerial stems bearing narrowly-oblong sterile leaves abruptly truncated to a prominent mucro, and round- ended or slightly conic synangia, with the apices projecting laterally.Fig. 13 : Tmesipteris horomaka : aerial stems growing from a tree fern trunk. Fig. 14 : Tmesipteris horomaka : aerial stem bearing narrowly-oblong sterile leaves abruptly truncated to a prominent mucro, and slightly conic synangia, with the apices projecting laterally.Fig. 15 : Tmesipteris horomaka : close up of sporophylls showing conic synangia appressed to the subtending leaf margin, the apices projecting laterally.",,,,60-510mm-long; 15-35mm-wide; 1-2.5mm-long,,2.5-6mm-long; 1-2mm,,,,Psilotaceae,"['indigenous', 'endemic']"
"Tmesipteris lanceolata P.A.Dang., Botaniste Séries 2: 214, pl. 15, fig. 6 (1891)",,7-23mm-long; 2-8.5mm-wide,"Tmesipteris lanceolata is found as an epiphyte on tree fern trunks, most commonly on Cyathea dealbata , C. medullaris and Dicksonia squarrosa , but it has also been reported on D. lanata (Chinnock 1975). On Raoul Island it grows on Cyathea milnei . It occurs in kauri, podocarp, pōhutukawa and broadleaved forest, and tall kānuka scrub. Recognition: This species is easily recognised by its shorter stems, distichously arranged leaves, and synangia which are usually confined to the lower part of the stem. The leaves are also shiny green, and ovate or elliptic in shape, unlike the other species which generally have duller leaves that are longer and narrower in outline. Some plants from Northland and Great Barrier Island differ from T. lanceolata in having the synangia confined to the upper half of the stem. They resemble T. norfolkensis from Norfolk Island but further work is required to determine their true identity. Cytology: n = 104 (Brownsey & Lovis 1987). Notes: The holotype of Dangeard’s Tmesipteris lanceolata has probably been destroyed (Chinnock 1975), and Dangeard’s illustration was therefore selected as lectotype (Chinnock 1998). The type locality, “Montagnes-Bleues”, was most likely to have been in New Caledonia where the species is common (Chinnock 1998). 10Fig. 17 : Tmesipteris lanceolata : aerial stem growing from a tree fern trunk, bearing shiny ovate leaves with cuspidate apices ending in a prominent mucro, and bilobed synangia confined to the proximal half.Fig. 18 : Tmesipteris lanceolata : aerial stem showing determinate growth with the apex terminated by a large sterile leaf. Fig. 19 : Tmesipteris lanceolata : aerial stem growing from a tree fern trunk, bearing shiny ovate leaves, and bifid sporophylls with conic or round-ended synangia confined to the proximal half.Fig. 20 : Tmesipteris lanceolata : close up of sporophylls showing round-ended synangia appressed to the subtending leaf margin.",,,,30-185mm-long; 8-40mm-wide; 1-2mm-long,,2-5mm-long; 1-2.5mm,,,,Psilotaceae,"['indigenous', 'non-endemic']"
"Tmesipteris sigmatifolia Chinnock, New Zealand J. Bot. 13: 764 (1975)",,8-20mm-long; 2-4mm-wide,"Tmesipteris sigmatifolia grows epiphytically on tree fern trunks, most commonly on Cyathea dealbata and Dicksonia squarrosa , but also occasionally on Cyathea medullaris ,Dicksonia lanata , and, at higher altitudes, on Cyathea smithii . It has been recorded once growing in litter at the base of a kauri (CHR 302370). It occurs in kauri, podocarp, broadleaved and old kānuka forests in northern New Zealand. Recognition: This species is recognised by its generally sigma-shaped leaves which are narrower than in other species and with a longer mucro tip. The synangia are usually located in the distal half of the stem, and the lobes are often unequal in size, with rounded ends. Cytology: n = 104 (Brownsey & Lovis 1987). Fig. 22 : Tmesipteris sigmatifolia : aerial stem bearing sigma-shaped leaves with cuspidate apices ending in long mucros, and bifid sporophylls with round-ended synangia confined to the distal half.Fig. 23 : Tmesipteris sigmatifolia : aerial stem showing round-ended synangia with unequal-sized lobes. 12Fig. 24 : Tmesipteris sigmatifolia : aerial stem showing determinate growth with the apex terminated by a large sterile leaf.Fig. 25 : Tmesipteris sigmatifolia : close up of sporophylls showing round-ended synangia appressed to the subtending leaf margin.",,,,40-270mm-long; 10-35mm-wide; 1.5-3.5mm-long,,2.5-5mm; 1-2.5mm,,,,Psilotaceae,"['indigenous', 'non-endemic']"
Tmesipteris tannensis (Spreng.),,7-28mm-long; 2-8mm-wide,"Tmesipteris tannensis usually grows epiphytically on tree fern trunks, but, unlike other species of the genus, it is also occasionally found terrestrially on banks, rocks, humus hummocks, mossy ground and peat mounds, or amongst matted roots and kauri litter. It is most commonly found on Cyathea dealbata , but also on C. medullaris , C. smithii , Dicksonia squarrosa , D. fibrosa and D. lanata . It has also been found on Dacrydium cupressinum , Griselinia littoralis , Ixerba brexioides , Podocarpus totara , Weinmannia racemosa , beech and Metrosideros trunks. It is sometimes found hanging from clumps of Collospermum and more frequently on rotting logs or dead stumps. It occurs in kauri, podocarp, broadleaved and beech forest. On the subantarctic islands it has been recorded growing on the caudices of Chionochloa antarctica (CHR 323153) and under leatherwood scrub. Recognition: This is the most widespread species in New Zealand, recognised by its brittle, spirally arranged leaves, usually with truncate or emarginate apices and long mucro tips. The synangia are biconic, with the apices pointing upwards. It is also the species most commonly found growing terrestrially. Some plants in Westland and the far south of the South Island tend to have broader, ovate to elliptic leaves, compared to the narrower, more elongate leaves elsewhere. They resemble T. obliqua from south-east Australia, but further work is required to confirm their identity. Cytology: n = 104 (Brownsey & Lovis 1987). Notes: Chinnock (1976) indicated that the holotype of Sprengel’s Lycopodium tannense had not been located, and was probably destroyed during World War II. Although Sprengel stated that it was collected on Tanna Island by the Forsters during Cook’s second voyage, Chinnock provided cogent reasons why this could not have been the case. Instead, he suggested that it was actually collected at Dusky Sound in New Zealand, and that the plant later illustrated by Bernhardi (1801) when creating his new genus, Tmesipteris , represented the species now known as T. tannensis . Bernhardi’s illustration was almost certainly based on a specimen from Sprengel’s herbarium. It was considered to depict the type specimen of Lycopodium tannense and was selected by Chinnock as the neotype. However, Fosberg (1993) challenged Chinnock’s choice, suggesting that a specimen in S, from the Swartz herbarium, might be from the Sprengel herbarium and that it should be used to lectotypify Lycopodium tannense . Unfortunately the original label has been lost, there is no indication that the specimen was collected by the Forsters, the identity of the specimen is uncertain, and there is no certainty that Sprengel saw it. Overturning Chinnock’s neotypification on the basis of this specimen therefore seems hard to justify. Plants from Banks Peninsula (CHR 142562 and 397940) are very unusual in having leaves with acuminate apices, and require further investigation (Perrie et al. 2010). 14Fig. 27 : Tmesipteris tannensis : aerial stem showing indeterminate growth with the apex terminated by a small leaf or sporophyll.Fig. 28 : Tmesipteris tannensis : aerial stem bearing narrowly-oblong leaves abruptly truncated to long mucros, and bifid sporophylls with elongated conic synangia, with the apices pointing upwards. Fig. 29 : Tmesipteris tannensis : aerial stem bearing bifid sporophylls with elongated conic synangia, with the apices pointing upwards.Fig. 30 : Tmesipteris tannensis : close up of sporophylls showing conic synangia, the apices projecting upwards, away from the subtending leaf margin. 1",,,,50-830mm-long; 10-45mm-wide; 1-3mm-long,,3-8mm-long; 1-2.5mm,,,,Psilotaceae,"['indigenous', 'endemic']"
"Adiantum aethiopicum L., Syst. Nat., ed. 10, 2, 1329 (1759)",,125-500mm-long,"Adiantum aethiopicum grows on the ground in open podocarp and broadleaved forest, under mānuka and kānuka, in coastal and gumland scrub, and under pines. It also grows amongst grass or under bracken. It favours coastal cliffs, roadside banks, creek banks, clay slopes, rocky ground, and sometimes swamp margins. Recognition: Adiantum aethiopicum is recognised by its 3–4-pinnate fronds, flabellate ultimate segments with the stalks attached centrally, glabrous rachises and laminae, reniform and glabrous “indusia”, and green abaxial lamina surface. The species is easily confused with the naturalised A. raddianum , but distinguished by its ultimate lamina segments, which are broader than long, and either entire or shallowly incised, especially at the point of attachment of the “indusia”. The ultimate segments in A. raddianum are generally longer than broad, and at least some are more deeply incised than the indusial notches, forming two or more distinct lobes. There is a true creeping rhizome in A. raddianum , whereas A. aethiopicum has a more or less erect rhizome with long-creeping stolons. Cytology: n = 60 (Brownlie 1958). 5Notes: In contrast to the count of n = 60 in New Zealand populations, 2n = 112 has been reported by Tindale & Roy (2002) in Australian plants of Adiantum aethiopicum , and n = 57 in the related A. atroviride Bostock . All New Zealand Flora writers since Hooker (1854–1855) have included Adiantum assimile Sw. in the synonymy of A. aethiopicum . Swartz (1801) described the species from an unspecified locality in Australia. Two related species, A. aethiopicum and A. atroviride , are now known to occur in Australia (Bostock 1998), their distributions overlapping in southern Queensland and New South Wales. Bostock (1998) described A. atroviride , but continued to include A. assimile in the synonymy of A. aethiopicum , even though he indicated that he had not seen the type. Without locating the type it is impossible to be certain of its affinities. Unfortunately Swartz’s herbarium in S is currently inaccessible, and the identity of A. assimile must wait until the type can be found and re-examined. Fig. 2 : Adiantum aethiopicum . Sterile frond with lamina segments that are only shallowly divided, attached centrally and generally broader than long.Fig. 3 : Adiantum aethiopicum . Sterile frond with lamina segments that are only shallowly divided, attached centrally and generally broader than long. Fig. 4 : Adiantum aethiopicum . Sterile frond with polished, red-brown stipes and rachises.Fig. 5 : Adiantum aethiopicum . Plants growing in profusion on a bank. 6Fig. 6 : Adiantum aethiopicum . Herbarium specimen from Auckland, WELT P008226/A.Fig. 7 : Adiantum aethiopicum . Close up of WELT P008226/A, showing glabrous fertile lamina segments, attached centrally, broader than long, and only shallowly lobed.",,80-400mm-long; 25-170mm-wide; 4-10mm-long; 6-12mm-wide,,,,,,,35-330mm-long,Pteridaceae,"['indigenous', 'non-endemic']"
"Adiantum capillus-veneris L., Sp. Pl. 1095 (1753)",,40-435mm-long; 20-270mm-long; 14-165mm-wide,"Adiantum capillus-veneris grows most commonly on brick or concrete walls in urban areas, or occasionally on road or trackside banks, or on scoria.",,5mm,,,,,,,20-210mm-long,Pteridaceae,['exotic']
