SpeciesName,AntherSize,CalyxSize,CorollaSize,DiskFloretSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,LobesSize,Lodicules,OvarySize,Palea,PappusSize,PedicelSize,PetalSize,PetioleSize,RayFloretsSize,SeedSize,SepalSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize,UtricleSize
lepidium-naufragorum,,,,,3mm,,,30-120mm,60-120x15-30mm; 10-50x2-10mm,,,,,,,3-5mm,,,,1.7-2mm,1x1mm,,,0.4mm,0.1-0.2mm,,
lepidium-oblitum,0.10mm,,,,1.6-2.0mm,,,30-76mm; 100mm,60x22mm; 15.0-56.2x12.0-18.6mm; 0.8-1.2mm; 10.2-29.0x2.4-4.8mm; 0.3-1.7mm,,,,,,,0.4-1.0mm; 0.8-2.0mm,,40x2mm; 32mm; 12mm,,1.8-1.9x0.9-0.93mm,0.9x0.6mm; 0.1-0.3mm; 1.0x0.9mm; 0.9-1.3x0.5-0.8mm,,1.0x0.9m,0.18-0.22mm,0.1-0.3mm,,
lepidium-obtusatum,,,,,3-4mm,,,3mm,30-70x5-20mm; 10-20x5mm,,,,,,,3-5mm,,80mm,,2x2mm,,,300mm,,,,
lepidium-oleraceum,,,,,,,,,20-100x15-40mm; 30-150mm,,,,,,,3-10mm,2.5-3.5x0.5-2mm,,,1.5-2mm,1-2x0.5-1mm,,1x1m,,0.1-0.2mm,,
lepidium-oligodontum,,,,,,,,,,,,,,,,,,,,,,,,,,,
lepidium-panniforme,,,,,,,,,,,,,,,,,,,,,,,,,,,
lepidium-rekohuense,0.16mm,,,,0.9mm; 1.4-2.0mm,,,10-60mm; 90mm,0.01-0.3mm; 30.0x13.3mm; 18.86-35.00x9.64-18.00mm; 9.46-17.00x2.03-6.14mm,,,,,,,0.05-0.8mm; 1.04-2.38mm; 2.34-6.02mm,0.3-1.0x0.2-0.8mm,50x3mm; 15x2mm; 2.14-5.60mm,,1.20-1.38x0.80-1.10mm,0.6-1.0x0.6-1.2mm,,2m; 100-500mm,0.2-0.4mm,0.8mm,,
lepidium-seditiosum,0.3-0.4mm,,,,2.3-2.6mm,,,1.3-1.5mm,32.4-45.4x21.2-26.4mm; 0.4-0.6mm,,,,1.1-1.8x0.6-1.3mm,,,1.6-2.2mm; 0.4-0.6mm,1.3-2.0x1.0-2.3mm,14-22.0x1.9-2.6mm,,,0.8-1.2mm; 0.1-0.4mm; 0.8-1.0mm; 0.1-0.4mm,1.2-1.8mm,,0.4-0.9mm; 0.2-0.4mm,0.11-0.4mm,,
lepidium-sisymbrioides,0.3-0.4mm,,,,4mm,3.5-5.0x1.9-4.6mm,,2-40cm; 1.0-5.6mm,120mm; 1.0-3.4mm; 8.3-25.6x1.6-6.2mm,,,,1.0-2.7x0.8-1.9mm; 0.2-0.9x0.3-0.9mm,,,2.7-6.4mm; 0.25-0.35mm,,,,1.5-2.5mm,0.7-1.0x0.6-1.6mm,1.6-3.0mm,,0.2-0.4mm,0.1-1.1mm,,
lepidium-solandri,0.3mm; 0.3-0.6mm,,,,4mm,3.1-5.0x2.3-3.8mm,,1.5-16.0cm; 0.8-3.7mm,100mm; 0.7-6.2mm; 2.5-19.8x1.2-9.8mm,,,,1.0-2.4x1.1-1.8mm; 0.2-1.1x0.3-1.3mm,,,2.5-6.5mm; 0.2-0.35mm,,,,1.7-2.5mm,0.7-1.3x0.7-1.6mm,1.5-2.8mm,,0.3-0.4mm,0.1-0.4mm,,
lepidium-tenuicaule,,,,,,,,50-100mm,20-100x0.5-0.15mm; 5-20x2-5mm,,,,,,,2-4mm,,,,1mm,0.5-1x0.3-0.5mm,,,,0.1mm,,
notothlaspi-australe,,,,,,,,,,,,,,,,,,,,,,,,,,,
notothlaspi-rosulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachycladon-cheesemanii,,,,,,60mm,,150-500mm; 2.75mm,15-80mm; 10-60x8-30mm; 10x3mm,,,,,,,10-15mm,5.0-6.7x1.5-2.2mm,5-20mm,,0.8-1.1mm,3.3-3.5x1.4-1.5mm,3.3-4.2mm,500mm,,,,
pachycladon-enysii,,,,,10mm,,,,4cmx1.5cm,,,,,,,,,,,1mm,,,10cm,,,,
pachycladon-exile,,,,,,15-25x0.7-1mm,,40-100mm,7-20mm; 4-9x1.5-5mm; 3x0.5mm,,,,,,,8-12x0.4-0.5mm,3-5x0.3-1mm,,,0.6-0.9mm,1.8-2.4x1-1.1mm,,100mm,,0.1-0.2mm,,
pachycladon-fasciarium,1.0-1.2x0.6-0.8mm,,,,,25-45x1.4-1.6mm,,6-25x0.5-1.2mm; 60-100mm,19-46x1.5-4.7mm,,,,3.2mm,,,7.0-10.0mm,5.5-6.4x2.8-3.6mm,15mm,,1.2-1.5mm; 0.6-0.8mm; 0.3-0.4mm,3.1-3.4x2.2-2.3mm,3.0mm; 2.3mm,200mm; 100-150mm,0.5-0.6mm,0.8-0.9mm,,
pachycladon-fastigiatum,,,,,8mm,,,,7cm,,,,,,,,,,,4cm; 1.5-2mm; 1-1.5mm,,,1.8cm; 35cm,,,,
pachycladon-latisiliqua,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachycladon-stellatum,0.9-1.1x0.5-0.6mm,,,,,30-60x1.3-2.3mm,,150-350mm; 3.5-55x1-5mm; 60-200mm,20-80x5-19mm,,,,2.6-4.1x0.5-0.8mm,,,4.0-5.5mm; 7-15mm,6-7x3-4mm,,,1.1-1.4x0.5-0.7x0.3-0.4mm; 0.2-1.0mm,3.5-4.5x1.3-2.1mm,2.5-4.9mm,340mm,0.4-0.5mm,0.3-0.7mm,,
rorippa-divaricata,,,,,,10-40x1-2mm,,50-200mm,30-160x20-80mm,,,,,,,5-20mm,2-3mm,,,1mm,2-3mm,,0.3-2m,,2mm,,
rorippa-laciniata,0.4mm,,,,5.7x3.6mm,15-46x1.3-1.8mm,,200-800mm,20-150x30-50mm,,,,1.8-4.0mm,,,9.2-12.2mm,3.6-5.5x1.9-2.3mm,50-100mm,,0.9mm,3.8-4.5x1.2-1.3mm; 0.8-1.2mm,2.5-4.0mm,,0.6mm,0.5mm; 0.5-0.8mm,,
rorippa-palustris,,,,,,,,,,,,,,,,,,,,,,,,,,,
thismia-rodwayi,,,,,5x2mm; 20mm,,,,,,4x1mm; 4-5x2.5mm,,1.5x2mm,,,,,,,,,,,,1mm,10x8mm,
jovellana-repens,,,5-6mm,,6mm,6-7mm,,,10-40mm,,1-2mm,,,,,,,5-12x2.0-2.3mm,,0.35-0.50mm,,,,,,,
jovellana-sinclairii,,2mm,4.8-10.2mm,,,3.8-4.2mm,,300mm,20-80x20-50mm,,,,,,,30mm,,8.2x2.3mm,,0.35-0.60mm,,,1.0x1.8m,,,,
wahlenbergia-akaroa,,,18-30mm; 10-15mm,,,6x4mm,,,40x15mm,,14x6mm; 4.0x1.5mm,,,,,50-100mm,,,,0.5mm,,,,,,1.5x6.0mm,
wahlenbergia-albomarginata,,,,,,,,,,,,,,,,,,,,,,,,,,,
wahlenbergia-cartilaginea,,10x3mm,,,12mm; 8-12mm,10x10mm,,,8x5-25x15mm,,7x5mm,,,,,,,,,1mm,,,,,,5x6mm,
wahlenbergia-congesta,,,9-12mm,,12-15mm,3-6mm,,,8-25mm,,2x1mm; 7-8x5mm,,,,,,,1.5-2mm,,,,,,,,4x5mm,
wahlenbergia-matthewsii,4mm,4-5x1mm,20-40mm,,,12x6mm,,,50x3mm,,10x6-20x8mm,,,,,,,,,0.5mm,,,300mm,,,9x6mm,
wahlenbergia-pygmaea,,,,,,,,,,,,,,,,,,,,,,,,,,,
wahlenbergia-ramosa,,,,,5-20mm; 4-9mm,5-7x4mm,,,30x10mm,,8x5mm; 3.0x1.5mm,,,,,30-100mm,,,,0.5mm,,,,,,1x3-4mm,
wahlenbergia-rupestris,,,,,9-25mm; 6-13mm,10x4mm,,,15-20mm,,8x5mm; 11x6mm; 2.0x0.7mm; 3.0x1.0mm,,,,,50-100mm,,,,0.5mm,,,100-500mm,,,2x5mm,
wahlenbergia-vernicosa,,,10-20mm; 9-12mm,,,10x5mm,,,10-40x5-10mm,,8x5mm; 4.0x1.5mm,,,,,20-70mm,,,,0.5mm,,,0.1-1.5m,,,4x4mm,
wahlenbergia-violacea,,,,,8mm; 2-10mm; 3x2mm; 7x4mm,,,,,,1.5x0.7mm; 4x1mm,,,,,30-150mm,,,,0.5mm,,,100-500mm,,,1.5x3.0mm; 3x4mm,
alseuosmia-banksii,,,,,,,,,,,,,,,,,,,,,,,,,,,
alseuosmia-macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
alseuosmia-pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,
alseuosmia-quercifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
alseuosmia-turneri,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-apetalus,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-brevisepalus,,,,,3mm,,,,2-3mm,,,,,,,,,,,,,,,,,,
colobanthus-buchananii,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-hookeri,,,,,5mm,,,,,,,,,,,,,,,,,,,,,,
colobanthus-masonae,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-monticola,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-muelleri,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-squarrosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-strictus,,,,,,,,,,,,,,,,,,,,,,,,,,,
colobanthus-wallii,,,,,,,,,,,,,,,,,,,,,,,,,,,
scleranthus-biflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,
scleranthus-brockiei,,,,,,,,,,,,,,,,,,,,,,,,,,,
scleranthus-uniflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,
stellaria-decipiens,,,,,,,,,,,,,,,,,,,,,,,,,,,
stellaria-elatinoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
stellaria-gracilenta,,,,,,,,,,,,,,,,,,,,,,,,,,,
stellaria-parviflora,,,,,,,,,,,,,,,,,,,,,,,,,,,
stellaria-roughii,,,,,,,,,,,,,,,,,,,,,,,,,,,
stackhousia-minima,,,,,,,,,,,,,,,,,,,,,,,,,,,
centrolepis-ciliata,,,,,,,,,5-25mm,,,,,,,,,,,1mm,,,300mm; 80mm,,,,
centrolepis-glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,
centrolepis-pallida,,,,,,,,,6-9mm; 0.5mm,,,,,,,,,,,0.5mm,,,,,,,
centrolepis-strigosa,,,,,,,3mm,,10-30x0.2mm,,,,,,,,,,,0.5mm,,,15-70mm,,,,
gaimardia-setacea,,,,,,0.5mm,,,5-20mm,,,,,,,,,,,,,,900mm,,,,
ascarina-lucida,,,,,,,,,,,,,,,,,,,,,,,,,,,
wurmbea-novae-zelandiae,,,,,,4-6x2-3-6mm,,,20-90x1-2mm,,,,2.5mm,,,,4-5x1.5-2mm,,,1mm,,,30-80mm,,,,
convolvulus-fractosaxosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
convolvulus-verecundus,,,,,,,,,,,,,,,,,,,,,,,,,,,
convolvulus-waitaha,,,10-16mm,,,5-6x5-6.5mm,,,6-17x5-12mm,,,,,,,8-18mm,,,,3.1-3.9x2.3-3.3mm,3.6-4x2.1-2.6mm,,,,,,
dichondra-brevifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
dichondra-repens,,,,,,,,,,,,,,,,,,,,,,,,,,,
calystegia-marginata,,,15x12mm,,,6mm,,,25-80x15-45mm,,,,,,,,,50x0.5-1mm,,,,,,,,,
calystegia-sepium,,,,,,,,,,,,,,,,,,,,,,,,,,,
calystegia-soldanella,,,20-40x25-50mm,,,15-20mm,,,50x50mm,,,,,,,,,80mm,,,,,,,,,
calystegia-tuguriorum,,,50x60mm,,,8-12mm,,,40x30mm,,,,,,,,,40mm,,,,,,,,,
ipomoea-cairica,,,,,,10mm,,,30-100mm,,,,,,,10-30mm,,20-60mm,,0.5mm,4.5-6.0mm,,,,,,
ipomoea-pes-caprae,,,,,,,,,,,,,,,,,,,,,,,,,,,
wilsonia-backhousei,,5-7mm,10mm,,,3mm,,,5-20x10-3mm,,2-4mm,,,,,0-1.5mm,,,,,,1-1.5mm,150mm,,,,
coriaria-angustissima,,,,,,,,,,,,,,,,,,,,,,,,,,,
coriaria-arborea,,,,,,,,,,,,,,,,,,,,,,,,,,,
coriaria-kingiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
coriaria-plumosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
coriaria-pottsiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
coriaria-pteridoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
coriaria-sarmentosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
corynocarpus-laevigatus,,,,,4-5mm,25-40mm,,200mm,100-150x50-70mm,,,,,,,,,10-15mm,,,,,15m,,,,
crassula-colligata,,,,,,,,,,,,,,,,,,,,,,,,,,,
crassula-helmsii,,,,,,,,,2-7x0.7-2mm; 0.5-0.8mm; 3-4mm,,1-2x0.5-0.6mm,,,,,2-7mm,1.2-2x0.8-1mm,,,0.5mm,,,,,,,
crassula-kirkii,,,,,,,,,,,,,,,,,,,,,,,,,,,
crassula-manaia,,,,,,,,,1-2x0.6-1mm; 0.5-0.6mm; 1-1.3mm,,0.7-1x0.4mm,,,,,1mm; 3mm,0.6-0.9x0.3mm,,,0.3-0.35mm,,,,,,,
crassula-mataikona,,,,,,,,,1.3-3x1-1.5mm; 0.8mm; 1.2-1.8mm,,,,,,,,,,,0.4mm,,,,,,,
crassula-moschata,,,,,,,,,2.0-12.0x1.2-3.4mm; 0.7mm; 4-6mm,,1.0-1.8x0.5-0.6mm,,,,,1-3mm,2.0-3.5x1.2-1.7mm,,,0.5-0.7mm,,,,,,,
crassula-multicaulis,,,,,,,,,1-3x0.6-0.7mm; 0.3-0.4mm; 3.5-5mm,,0.5-0.8x0.5-0.6mm,,,,,2mm,1.6-1.8x1.3mm,,,0.5mm,,,60mm,,,,
crassula-peduncularis,,,,,,,,,1.3-4.5x0.3-0.7mm,,,,,,,,,,,,,,,,,,
crassula-ruamahanga,,,,,,,,,1.3-8x0.4-1.5mm; 0.2-0.6mm; 1.8-2.5mm,,0.8-1x0.4-0.6mm,,,,,0.5-1mm,,,,0.5mm,,,,,,,
crassula-sieberiana,,,,,2-3mm,,,,2.0-2.5x0.5-0.7mm; 0.7mm,,1.0-1.2x0.7-0.8mm,,,,,1mm; 2mm,0.8-0.9x0.5-0.6mm,,,0.3-0.5mm,,,,,,,
crassula-sinclairii,,,,,2.5-3.5mm,,,,0.5-2.0x0.2-0.5mm; 0.2mm,,4mm,,,,,0.5-3.0mm,1.0-1.8x0.5-0.9mm,,,0.30-0.45mm,,,,,,,
sicyos-australis,,,4.5-7.8mm; 2.5-3.5mm,,1.7-2.2mm,6.4-9.5x2.8-4.0mm,,25-155mm,35-195x45-200mm,,0.4-0.7mm; 2.0-2.6mm; 0.4-0.7mm; 1.6mm; 0.3mm,,3mmx1.4mm,,,3-11mm,,10-65mm,,4.0-5.5x2.8-3.4mm,,,,,1.4mm,,
sicyos-mawhai,,,7-13mm; 4-6.8mm,,1.9-2.4mm,8.0-13.0x4.0-5.8mm,,45-205mm,45-135x60-165mm,,1.2mm; 2.0-3.5mm; 0.8mm; 2.0-2.3mm,,3.2-4.0mm,,,3.5-27mm,,25-135mm,,5.6-6.0x3.8-4.5mm,,,,,1.8mm,,
ackama-nubicola,0.2mm,5m; 0.8mm,,,,2.4-3x2-2.7mm,,80-100mm,140-300x50-140mm; 10-20mm; 30-150x35-100mm; 100x50mm,,,,0.8mm,,,,0.8x0.2mm,35-40mm,,0.9x0.4mm,,,5-15m,,0.8mm,,
ackama-rosifolia,,,,,3mm,3-4mm,,15cm,25cm; 3-6cm; 1.5-3cm; 4-3cm; 4-7cm,,,,,,,,1.5mm,,,,1mm,,12m,,1mm,,
weinmannia-racemosa,0.2-0.3mm,,,,,4.0-5.8x2.7-3.1mm,,60-1140mm,10-60x10-30mm,,,,0.8mm,,,2-4mm,2-3mm,20cm; 30-100x20-40mm,,1.0-1.5mm,1.0-1.5mm,10mm,28m,0.2-0.4mm,3-4mm,,
weinmannia-silvicola,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolboschoenus-caldwellii,,,,,,3.5-4.0x2.5mm,,40-220x1.5-2.5mm,200-320x2.5-4.0mm,,,,,,,,,,,,,,0.3-1.0m; 2-3mm,,,,
bolboschoenus-fluviatilis,,,,,,3.0-4.0x1.5-2.0mm,,150-250x3-6mm,500x7-11mm,,,,,,,,,,,,,,1.5-2.5m; 6-15mm,,,,
bolboschoenus-medianus,,,,,,3.0-4.0x2.0-2.5mm,,150-250x3-6mm,450-500x6-8mm,,,,,,,,,,,,,,0.7-1.5m; 4-5mm,,,,
carex-acicularis,,,,,,2mm,,5mm,0.5mm,,,,,,,,,,,,,,,,,,3-5x1mm; 2-2.3mm
carex-albula,,,,,,1.5mm,,5-20x3-5mm,0.8-0.9mm,,,,,,,,,,,,,,250-350mm,,,,2.5-3x1.5mm
carex-allanii,,,,,3-4mm,2mm,3-4mm,,0.2mm,,,,,,,,,,,,,,,,,,3-3.5x1mm; 1mm
carex-applanata,0.8-1.2mm,,,,,,,4.2-6.3x4.2-6.8mm,10-60mm,,,,,,,,,,,1.2x0.9mm,,,200mm,,,,2.2-2.4x1.4mm
carex-appressa,,,,,,1.5mm,,60-250x10-30mm; 5-6mm,3-7mm,,,,,,,,,,,,,,0.2-1.4m; 3.0-6.5mm,,,,2.5-3.5x1.5mm
carex-astricta,,,,,1-5mm,,,25-90mm; 4-5mm; 2mm,2-4mm,,,,,,,,,,,,,,,,,,5.0-7.0x1.5-2.0mm; 1.0-1.5mm; 1-2mm
carex-auceps,1.2-1.8mm,,,,,2.2-2.4mm; 1.0-1.2mm,3.0-5.1mm; 1.0-1.8mm; 3.4-5.3mm; 1.0-2.0mm; 60mm,90-400mm; 3-6mm,60mm; 0.48-83m; 4.3-6.2mm,,,,,,,,,,,,,3.6-5.0mm,,,,,4.8-5.3mm; 1.2-1.4mm; 1.0-1.5mm
carex-aucklandica,,,,,,,,25-50x2-3mm; 5mm; 1.5-2.0mm,0.5-1mm,,,,,,,,,,,,,,,,,,5-6mm; 1mm; 1.0-1.5mm; 1.0-1.5mm
carex-banksiana,,,,,,,,30-70x1-2mm; 1-10mm,0.5-1.5mm,,,,,,,,,,,,,,,,,,4.5-6mm; 1mm; 0.5-1.0mm; 1.0-1.5mm
carex-berggrenii,,,,,,1.5mm,,5-8mm,30-60x1-2.5-3mm,,,,,,,,,,,,,,,,,,2-3x1.5mm
carex-breviculmis,,,,,,1.5mm,,6-9mm,10-20mm; 1.5-3.0mm,,,,,,,,,,,,,,,,,,2.5x1.0mm
carex-buchananii,,,,,,1.5mm,,5-30x3-4mm,1.0-1.5mm,,,,,,,,,,,,,,,,,,2.5-3.0mm; 1mm; 0.5-1.0mm
carex-calcis,1.5-2.5mm,,,,,1.3-1.6x0.9-1.2mm,4.0-6.4x1.6-2.0mm; 2.1-4.0x1.6-2.2mm,7.0-30x2.0-3.7mm; 6.0-35x5.0-7.0mm; 100-200x2.5-5.5mm,150-300x2.5-6.0mm,,,,,,,,,,,,,,,,,,2.5-3.7x1.2-2.3mm
carex-capillacea,,,,,3mm,1.5mm,,5-8x3-4mm,0.5mm,,,,,,,,,,,,,,,,,,2x1mm; 0.5mm
carex-carsei,,,,,,2mm,,1-1.5cm,1-2.5mm,,,,,,,,,,,,,,,,,,7-8.5x2mm; 3-3.5mm
carex-cheesemanniana,,,,,,,,,,,,,,,,,,,,,,,,,,,
carex-cirrhosa,,,,,,1.5mm,,2mm,0.5-1.0mm,,,,,,,,,,,,,,,,,,1.0-1.5mm; 0.5mm
carex-cockayneana,,,,,,1.5-2.0mm,,10-70x5-10mm,800.0x3.0-6.5mm,,,,,,,,,,,,,,,,,,1-2mm; 1mm
carex-colensoi,,,,,,1.5mm; 0.2mm,,10-15mm; 7-10x2-5mm,0.5-1.5mm,,,,,,,,,,,,,,0.5mm,,,,2.5-3.5x1.5-2.0mm
carex-comans,,,,,,1.5-2mm,,5-25x3-4mm,0.5-1.5mm,,,,,,,,,,,,,,,,,,1.0mm; 1mm
carex-coriacea,,,,,,1.5mm,,2-3mm; 5mm,4-9mm,,,,,,,,,,,,,,,,,,1.9-3.3x1.2-2.0mm; 0.3mm
carex-corynoidea,,,,,,,,50-140mm; 7-10mm; 0.5-4.0mm; 8mm,4-6mm,,,,,,,,,,,,,,,,,,5.0-7.0x1.5-2.0mm; 1.5-2.0mm; 1.5-2.0mm
carex-cremnicola,2.2-3.5mm,,,,,,3.12-5.12x1.08-2.2mm; 2.0-4.3x0.9-1.8mm,4-7m; 12-86x1.0-3.0mm; 8.0-70x1.5-6.0mm,145-795x2.0-6.0mm; 200-450x1.5-5.0mm,,,,,,,,,,,1.0-2.0x0.8-1.3mm,,,,,,,2.0-3.5x0.8-2.0mm
carex-crispa,,,,,,,,30-55x2-5mm; 1-3mm,1mm; 1.5mm,,,,,,,,,,,,,,,,,,4.0-5.0x1.0-1.5mm; 1.0mm; 1mm
carex-cyanea,,,,,,,,40-150x2-3mm; 15mm; 4mm,1mm; 2mm,,,,,,,,,,,,,,,,,,1mm; 2mm
carex-dallii,,,,,,2mm,,5-15x2-5mm,1-2mm,,,,,,,,,,,,,,,,,,2.0-3.0x1.0-1.5mm; 0.5mm
carex-decurtata,,,,,,2mm,,4-8mm,30-90x0.5-1mm,,,,,,,,,,,,,,,,,,2.5-3x1.5mm; 0.5mm
carex-devia,,,,,,1.8-1.9mm,,1.5-3mm; 0-30x5mm,70-300x1.5-2.5mm,,,,,,,,,,,,,,,,,,3x1.5mm; 0.2-0.5mm; 0.5mm
carex-diandra,,,,,,1.5mm,,15-50mm; 5mm,1.5-3.0mm,,,,,,,,,,,,,,,,,,3.0-3.5x1.5-2.0mm
carex-dipsacea,,,,,,1mm,,10-40x4-6mm,1.5-2.5mm,,,,,,,,,,,,,,0.25-1.00m,,,,1.5mm
carex-dissita,,,,,,1.5mm,,5-30x4-6mm,1.5-5.0mm,,,,,,,,,,,,,,,,,,1.5mm
carex-dolomitica,,,,,,,3.3-3.8x1.5-2.3mm,40mm,200-600x4-8.5mm,,,,,,,,,,,,,,,,,,0.2-1mm; 3.2-4.2x1.3-1.9mm
carex-druceana,,,,,,2mm; 1x1mm,,0.5-1cmx3-5mm,35cmx1.5mm,,,,,,,,,,,,,,10-20cm,,,,2.5x1.3-1.5mm; 0.3mm
carex-drucei,,,,,0.5-1.5mm,,,05-20x3-4mm; 10mm,1.0-1.5mm,,,,,,,,,,,,,,,,,,1mm; 1mm; 1.5mm
carex-echinata,,,,,,2mm,,15-40mm; 3-7mm,0.5-1.5mm,,,,,,,,,,,,,,,,,,1.5mm
carex-edgariae,,,,,,1x1mm,,5-10x3-4mm,1-2mm,,,,,,,,,,,,,,,,,,1.5-2.5x1mm
carex-edura,,,,,,,,10-45x4-10mm; 0.5-1.0mm,,,,,,,,,,,,,,,,,,,3.5-5.0x1.0-1.5mm; 1mm; 1.0-1.5mm
carex-egmontiana,,,,,,,,3mm; 12mm; 3mm,1.0-1.5mm,,,,,,,,,,,,,,250-400mm,,,,1.0mm; 1.5mm; 1.5mm
carex-enysii,,,,,1-2m,1.5mm,4-7mm; 3mm,,0.3mm,,,,,,,,,,,,,,,,,,2.5-3x1-2mm; 1mm; 1x0.3mm
carex-erebus,,,,,,,,3mm; 1-3mm; 4mm,1.5-2.0mm,,,,,,,,,,,,,,,,,,4-5mm; 1mm; 1mm; 1.0-1.5mm
carex-erythrovaginata,,,,,,,,60-100mm,2-3mm,,,,,,,,,,,,,,,,,,5-14mm; 2mm; 1mm; 1.5mm; 2mm
carex-fascicularis,,,,,,1.5-2.0mm,,,4-13mm,,,,,,,,,,,,,,0.6-1.1m; 1.5-2.5mm,,,,4.0-6.0x1.0-1.5mm
carex-filamentosa,,,,,,1.5mm,,,0.5-1mm,,,,,,,,,,,,,,,,,,2.5-3x1.5mm
carex-flagellifera,,,,,,2.8m; 1.5mm,,15-30x3-5mm,1.5-2.5mm,,,,,,,,,,,,,,,,,,1.5mm
carex-flaviformis,,,,,,1.5mm,,30mm; 25mm; 10-20mmx1.5-2.0mm; 6-15x6-8mm,2-3mm,,,,,,,,,,,,,,,,,,1.5mm
carex-forsteri,,,,,,1.5-2.0mm,2-5mm; 1mm; 1.5-2.0mm,25-110x5-11mm,1.2m; 3-12mm,,,,,,,,,,,,,,0.9m; 1.0-2.5mm,,,,
carex-fretalis,,,,,,1.5mm,,10-25x4-5mm; 10mm,1mm,,,,,,,,,,,,,,,,,,3.5x1mm
carex-gaudichaudiana,,,,,,1.5-2mm,,5-20x2-5mm,,,,,,,,,,,,,,,,,,,2.5-4.0x1.5-2.0mm
carex-geminata,,,,,,,,,,,,,,,,,,,,,,,0.5-1.2m,,,,2.3-2.9x1.2-1.7mm; 0.2mm
carex-goyenii,,,,,,2mm,,15-40x4-7mm,3.5-6.0mm,,,,,,,,,,,,,,0.25-1.00m,,,,1.5mm; 1mm
carex-hamlinii,,,,,,,,40-100x3-5mm; 9mm; 2-5mm,1-2mm,,,,,,,,,,,,,,,,,,1mm; 1.5mm; 1.5-2.0mm
carex-healyi,,,,,8mm; 2-4mm,,,,2-3mm,,,,,,,,,,,,,,250-900mm; 1mm,,,,1mm; 1mm; 1.0-1.5mm
carex-hectorii,,,,,,,2.2-2.4mm,0.5-15mm,0.5-1.5mm,,,,,,,,,,,,,,,,,,2.5-3x1.5-2mm
carex-horizontalis,,,,,,,,30-60x3-5mm; 6mm; 0.5-1.0mm,1.5-2.0mm,,,,,,,,,,,,,,,,,,4.5-6.0x1.0-1.5mm; 1.0-1.5mm; 1-2mm
carex-imbecilla,,,,,6mm; 2mm,,,2mm,1.0-2.0mm,,,,,,,,,,,,,,,,,,1mm; 1.0-1.5mm; 1mm
carex-impexa,,,,,,,1.8-2.4mm,7-12mm; 6-10mm,5-3.6mm,,,,,,,,,,,,,,,,,,2-2.7x1-1.4mm
carex-inopinata,,,,,,2mm,,,100x1mm,,,,,,,,,,,,,,,,,,6-7mm
carex-inversa,,,,,,1.5mm,,10mm; 4-8mm,0.5-1.5mm,,,,,,,,,,,,,,,,,,1.5mm
carex-kaloides,,,,,,2mm,,50-180mm,100-600x1-3.5mm,,,,,,,,,,,,,,,,,,4-5x1mm
carex-kirkii,,,,,,2mm,,,,,,,,,,,,,,,,,,,,,1mm
carex-lachenalii,,,,,,,,,,,,,,,,,,,,,,,,,,,
carex-lambertiana,,,,,,1.5mm,,15-50x5-7mm,3-6mm,,,,,,,,,,,,,,0.6-1.0m,,,,1.5mm
carex-lectissima,,,,,,,,5-30x2-3mm; 10m; 2-3mm; 4mm,,,,,,,,,,,,,,,,,,,1mm; 1mm
carex-lessoniana,,,,,,1.5mm,,2-4mm; 20-90x4-7mm,3.5-8.0mm,,,,,,,,,,,,,,0.5-1.5m,,,,2.6-3.8x1.3-2.3mm
carex-libera,,,,,,1x1mm,,,250x0.5-1mm,,,,,,,,,,,,,,,,,,2-3x1-1.5mm
carex-litorosa,,,,,,,,,1.5mm,,,,,,,,,,,,,,800mm,,,,
carex-longiculmis,,,,,,,,,,,,,,,,,,,,,,,,,,,
carex-longifructus,,,,,,,,10-15x2-4mm; 1-1.5mm,1mm,,,,,,,,,,,,,,,,,,4.5-5.5x1mm; 1mm; 1.5mm
